,precision,recall,f1-score,support
Abnormal_Heartbeat,0.9375,0.8571428571428571,0.8955223880597015,35.0
History_of_MI,0.9166666666666666,0.8461538461538461,0.88,13.0
Myocardial_Infarction,0.75,0.75,0.75,4.0
Normal,0.8076923076923077,0.9545454545454546,0.875,22.0
accuracy,0.8783783783783784,0.8783783783783784,0.8783783783783784,0.8783783783783784
macro avg,0.8529647435897436,0.8519605394605395,0.8501305970149253,74.0
weighted avg,0.8851134788634788,0.8783783783783784,0.8788281565147237,74.0
