Model,Val Accuracy,Val Macro F1,Val Loss,Test Accuracy,Test Macro F1,Test Macro ROC-AUC,Test Loss,Total Parameters,Eval Time (s)
Custom_CNN,0.7027027027027027,0.3949883750968742,0.7626304593576062,0.6891891891891891,0.38816813700051894,0.8534057472582062,0.8426999529043215,423748,0.12
ResNet50V2,0.6216216216216216,0.5863237639553429,0.8878637243007214,0.6216216216216216,0.5890873015873016,0.9380771209664653,0.8779076767567723,24090372,0.29
ResNet50V2_FT,0.8378378378378378,0.8047008547008547,0.5948990348728224,0.8783783783783784,0.8501305970149253,0.9746004678381728,0.3725057825207516,24090372,0.29
EfficientNetB0,0.6621621621621622,0.44232059020791414,0.8701666240755291,0.7567567567567568,0.5509189640768588,0.8690225757848709,0.8826242529288248,4378535,0.35
EfficientNetB0_FT,0.7702702702702703,0.6844272844272844,0.6176339983786309,0.8378378378378378,0.7488641475483582,0.9201756917945443,0.6005118900340297,4378535,0.35
DenseNet121,0.6351351351351351,0.5112211705432045,0.8574636481366584,0.6621621621621622,0.5275670826196884,0.9311188811188811,0.8427312121342675,7300932,1.13
DenseNet121_FT,0.6081081081081081,0.541329739442947,0.9851126080776377,0.6486486486486487,0.5969696969696969,0.9271247195427523,0.961462852329564,7300932,1.24
